iter	Passed	Remaining
0	1	191
1	3	179
2	5	169
3	6	158
4	8	156
5	9	153
6	11	151
7	13	152
8	14	150
9	16	148
10	18	146
11	19	145
12	21	143
13	23	141
14	24	140
15	26	139
16	28	137
17	29	135
18	31	134
19	33	132
20	34	130
21	36	128
22	37	126
23	39	125
24	41	124
25	42	122
26	44	120
27	46	118
28	47	117
29	49	115
30	51	113
31	52	111
32	54	110
33	56	109
34	57	107
35	59	105
36	61	104
37	62	102
38	64	100
39	65	98
40	67	97
41	68	94
42	69	92
43	71	91
44	73	89
45	74	87
46	76	86
47	78	84
48	79	83
49	81	81
50	83	79
51	84	78
52	86	76
53	88	74
54	89	72
55	90	71
56	92	69
57	93	67
58	95	66
59	97	64
60	98	63
61	100	61
62	102	59
63	103	58
64	105	56
65	107	55
66	108	53
67	110	52
68	112	50
69	113	48
70	115	47
71	117	45
72	118	43
73	120	42
74	122	40
75	124	39
76	127	38
77	131	37
78	133	35
79	134	33
80	136	32
81	138	30
82	139	28
83	141	26
84	143	25
85	144	23
86	146	21
87	147	20
88	149	18
89	151	16
90	152	15
91	154	13
92	156	11
93	157	10
94	159	8
95	161	6
96	162	5
97	164	3
98	166	1
99	167	0
